"","season","treatment","site_code","plot","total_abund","spontan_exotic_abund","spontan_nativ_abund","sm_abund","spontan_inv_abund","props_spontan_native","props_sm","props_spontan_exotic","props_spontan_invasive"
"108","Spring","RES","R4_1",1,68,0,0,68,0,0,1,0,0
"109","Spring","RES","R4_1",3,37,13,2,21,1,0.05,0.57,0.35,0.03
"110","Spring","RES","R4_1",5,30,1,13,14,2,0.43,0.47,0.03,0.07
"111","Spring","RES","R4_1",11,19,2,2,14,1,0.11,0.74,0.11,0.05
"112","Spring","RES","R4_1",13,22,5,2,14,1,0.09,0.64,0.23,0.05
"113","Spring","RES","R4_1",15,47,1,4,41,1,0.09,0.87,0.02,0.02
"114","Spring","RES","R4_1",21,37,1,0,35,1,0,0.95,0.03,0.03
"115","Spring","RES","R4_1",23,16,3,2,11,0,0.12,0.69,0.19,0
"116","Spring","RES","R4_1",25,14,10,2,1,1,0.14,0.07,0.71,0.07
"117","Spring","RES","R4_2",1,19,4,6,8,1,0.32,0.42,0.21,0.05
"118","Spring","RES","R4_2",3,87,0,3,10,74,0.03,0.11,0,0.85
"119","Spring","RES","R4_2",5,170,0,36,70,64,0.21,0.41,0,0.38
"120","Spring","RES","R4_2",11,122,15,8,63,36,0.07,0.52,0.12,0.3
"121","Spring","RES","R4_2",13,114,13,14,46,41,0.12,0.4,0.11,0.36
"122","Spring","RES","R4_2",15,607,5,6,145,451,0.01,0.24,0.01,0.74
"123","Spring","RES","R4_2",21,123,25,3,12,83,0.02,0.1,0.2,0.67
"124","Spring","RES","R4_2",23,199,18,38,48,95,0.19,0.24,0.09,0.48
"125","Spring","RES","R4_2",25,197,4,23,90,80,0.12,0.46,0.02,0.41
"126","Spring","RES","R4_3",1,47,0,7,17,23,0.15,0.36,0,0.49
"127","Spring","RES","R4_3",3,141,43,9,41,48,0.06,0.29,0.3,0.34
"128","Spring","RES","R4_3",5,54,9,0,24,21,0,0.44,0.17,0.39
"129","Spring","RES","R4_3",11,62,12,11,28,11,0.18,0.45,0.19,0.18
"130","Spring","RES","R4_3",13,67,0,5,60,2,0.07,0.9,0,0.03
"131","Spring","RES","R4_3",15,38,4,4,23,7,0.11,0.61,0.11,0.18
"132","Spring","RES","R4_3",21,102,11,4,50,37,0.04,0.49,0.11,0.36
"133","Spring","RES","R4_3",23,76,9,18,35,14,0.24,0.46,0.12,0.18
"134","Spring","RES","R4_3",25,33,1,1,10,21,0.03,0.3,0.03,0.64
"135","Spring","TIL","T2_1",1,2,1,0,0,1,0,0,0.5,0.5
"136","Spring","TIL","T2_1",3,6,5,0,1,0,0,0.17,0.83,0
"137","Spring","TIL","T2_1",5,8,6,1,0,1,0.12,0,0.75,0.12
"138","Spring","TIL","T2_1",11,5,2,1,0,2,0.2,0,0.4,0.4
"139","Spring","TIL","T2_1",21,5,3,0,1,1,0,0.2,0.6,0.2
"140","Spring","TIL","T2_1",23,1,0,0,0,1,0,0,0,1
"141","Spring","TIL","T2_1",25,5,4,1,0,0,0.2,0,0.8,0
"142","Spring","TIL","T2_2",1,3,2,1,0,0,0.33,0,0.67,0
"143","Spring","TIL","T2_2",3,5,3,1,0,0,0.2,0,0.6,0
"144","Spring","TIL","T2_2",5,2,0,1,1,0,0.5,0.5,0,0
"145","Spring","TIL","T2_2",11,2,0,1,1,0,0.5,0.5,0,0
"146","Spring","TIL","T2_2",13,3,0,2,1,0,0.67,0.33,0,0
"147","Spring","TIL","T2_2",15,5,0,4,0,1,0.8,0,0,0.2
"148","Spring","TIL","T2_2",21,6,1,5,0,0,0.83,0,0.17,0
"149","Spring","TIL","T2_2",23,3,0,0,1,2,0,0.33,0,0.67
"150","Spring","TIL","T2_2",25,4,1,3,0,0,0.75,0,0.25,0
"151","Spring","TIL","T2_3",1,1,1,0,0,0,0,0,1,0
"152","Spring","TIL","T2_3",3,3,0,2,0,1,0.67,0,0,0.33
"153","Spring","TIL","T2_3",5,8,0,3,0,5,0.38,0,0,0.62
"154","Spring","TIL","T2_3",11,2,0,0,2,0,0,1,0,0
"155","Spring","TIL","T2_3",13,2,0,1,1,0,0.5,0.5,0,0
"156","Spring","TIL","T2_3",15,1,0,0,0,1,0,0,0,1
"157","Spring","TIL","T2_3",23,2,0,2,0,0,1,0,0,0
