"","spp_code","Genus","Species","VICP","TIMH","KENN","GRNB","BNSH","DAVE","DVAG","AMBJ","BRIM"
"76","SONU","Sorghastrum","nutans",0,1,2,0,0,1,0,0,0
"77","BAVU","Barbarea","vulgaris",0,0,0,0,0,0,3,0,0
"78","CABP","Capsella","bursa-pastoris",0,2,0,0,0,0,1,0,0
"79","CAPR","Cardamine","pratensis",0,0,0,0,0,0,1,0,0
"80","ECGI","Eragrostis","cilianensis",0,0,0,0,0,0,1,0,0
"81","PEMU","Persicaria","maculosa",0,26,0,0,0,0,10,0,0
"82","PIEC","Picris","echioides",0,0,0,0,0,0,1,0,0
"83","RUAL","Rubus","allegheniensis",0,0,0,0,0,0,1,0,0
"84","SOOL","Sonchus","oleraceus",4,2,6,0,0,0,1,0,0
"85","CAPE","Carex","spp.",0,0,0,1,0,0,0,0,0
"86","PRVU","Prunella","vulgaris",0,0,0,1,0,0,0,0,0
"87","LASE","Lactuca","serriola",8,5,4,0,0,0,0,0,0
"88","RARA","Raphanus","raphanistrum",0,0,1,0,0,0,0,0,0
"89","SOAR","Sonchus","arvensis",1,0,1,0,0,0,0,0,0
"90","AMBL","Amaranthus","blitoides",0,1,0,0,0,0,0,0,0
"91","ERCI","Eragrostis","cilianensis",1,1,0,0,0,0,0,0,0
"92","POAV","Polygonum","aviculare",0,7,0,0,0,0,0,0,0
"93","XXXI","Euphorbia","spp.",0,1,0,0,0,0,0,0,0
"94","LOPE","Lolium","perenne",1,0,0,0,0,0,0,0,0
