"","Code","Order","Family","Genus","Species","Authority","Comment"
"59","SONI","Solanales","Solanaceae","Solanum","nigra","L.","Black Nightshade"
"60","SONU","Poales","Poaceae","Sorghastrum","nutans","(L.) Nash",NA
"61","SOSP","Asterales","Asteraceae","Solidago","canadensis","L.","Originally labelled as ""Solidago spp."" but confirmed as Soligado canadensis based on surveys done in late August 2021"
"62","TAOF","Asterales","Asteraceae","Taraxacum","officinale","F.H. Wigg.",NA
"63","TRPR","Fabales","Fabaceae","Trifolium","pratense","L.","Red Clover"
"64","TRRE","Fabales","Fabaceae","Trifolium","repense","L.","White Clover"
"65","VEAR","Scrophulariales","Scrophulariaceae","Veronica","arvensis","L.","https://plants.usda.gov/home/plantProfile?symbol=VEAR"
"66","VEST","Lamiales","Verbenaceae","Verbena","stricta","Vent.",NA
"67","VEUR","Lamiales","Verbenaceae","Verbenum","urticifolia","L.",NA
"68","XXXI",NA,NA,NA,NA,NA,NA
